epoch,loss,image_size,batch_size,timesteps,time_emb_dim,learning_rate
1,0.990234375,8,256,1000,256,0.0002
2,1.0322265625,8,256,1000,256,0.0002
3,0.97705078125,8,256,1000,256,0.0002
4,0.92138671875,8,256,1000,256,0.0002
5,0.791015625,8,256,1000,256,0.0002
6,0.88330078125,8,256,1000,256,0.0002
7,0.80908203125,8,256,1000,256,0.0002
8,0.75732421875,8,256,1000,256,0.0002
9,0.76708984375,8,256,1000,256,0.0002
10,0.814453125,8,256,1000,256,0.0002
11,0.79345703125,8,256,1000,256,0.0002
12,0.71484375,8,256,1000,256,0.0002
13,0.6376953125,8,256,1000,256,0.0002
14,0.611328125,8,256,1000,256,0.0002
15,0.65234375,8,256,1000,256,0.0002
16,0.67333984375,8,256,1000,256,0.0002
17,0.654296875,8,256,1000,256,0.0002
18,0.5908203125,8,256,1000,256,0.0002
19,0.62939453125,8,256,1000,256,0.0002
20,0.64794921875,8,256,1000,256,0.0002
